wikidata_name,wikidata_id,potential_drop,has_infobox,start_date,end_date,location_name,location_latlong,result,belligerent_sideA,belligerent_sideB,means_drones,means_airtoair,means_cruisemissiles,means_aerialbombing,means_closeairsupport,means_groundtroops,means_paramilitary,casualties_sideA,casualties_sideB,casualties_civilian,casualties_us,notes
Attack on Ras Tanura,Q28162756,0,1,1991-01-24,1991-01-24,"Ras Tanura, Saudi Arabia",NA,Coalition victory,Saudi Arabia; United States,Iraq,0,1,0,0,0,0,0,0,2,NA,0,U.S. jets bombed the airfield and destroyed the two Iraqi aircrafts assigned to the mission the day before; AWAC cleared the airspace in front of the Iraqi aircrafts; AWACs routed a number of US Marine Crops Av-8B Harriers behind them in case the Saudis were unable to complete the air-air kill; no record of them firing
Battle of Qurah and Umm al Maradim,Q4872147,0,1,1991-01-24,1991-01-29,"Persian Gulf, Off the coast of Kuwait",NA,Coalition victory,United States; Kuwait,Iraq,0,0,0,0,1,1,0,0,3,NA,0,"note that while some ground troops and attack helicopters were used, this mainly involved naval battles"
Battle of Khafji,Q718770,0,1,1991-01-29,1991-02-01,"Khafji, Eastern Province, Saudi Arabia",28°25′N 48°30′E,Coalition victory (Coalition recaptures Khafji after two-day Iraqi occupation),Saudi Arabia; United States; Kuwait; Qatar; Morocco; Senegal; United Kingdom,Iraq,0,0,0,0,1,1,1,43,NA,NA,NA,"side b casualties 71 killed (Iraqi claim), 60-300 killed (Coalition claim); 25 americans killed, 11 by friendly fire (not in info box)"
Samurra Air Battle,Q28162754,0,1,1991-01-30,1991-01-30,"Khan Bani Saad, Iraq",NA,Indecisive,United States,Iraq,0,1,0,0,0,0,0,0,0,0,0,
Amiriyah shelter bombing,Q2071090,0,1,1991-02-13,1991-02-13,"Al-A'amiriya, Baghdad, Iraq",33°17′50″N 44°16′50″E,NA,United States,Iraq,0,0,0,1,0,0,0,NA,NA,408,NA,"Airstrike executed by the United States Airforce during the Persian Gulf War; 408 civilians killed; international condemnation for the bombing; Seven Iraqi families living in Belgium who lost loved ones in the attack launced a lawsuit against former President George H.W. Bush and former Secretary of Defence Dick Cheney, former Chairman of the Joint Chiefs of Staff Colin Powell, and General Normal Schwarzkopf for committing war crimes"
Battle of Wadi Al-Batin,Q3636251,0,1,1991-02-15,1991-02-20,Iraq,NA,Iraqi tactical victory; Coalition strategic victory,United States; United Kingdom,Iraq,0,0,0,1,1,1,0,3,NA,NA,NA,Side B casualties unkown
Liberation of Kuwait campaign,Q6541036,0,1,1991-02-24,1991-02-28,"Kuwait, Iraq, Persian Gulf",NA,Coalition victory (Kuwait liberated from Iraqi occupation; End of Gulf War; Iraqi military devastated),United States; Kuwait; Saudi Arabia; Egypt; Canada; United Kingdom; Syria; Morocco; Bangladesh,Iraq,0,0,0,0,0,1,0,1155,27500,NA,NA,"U.S. and Coaltition troops entered to find Iraqis surrengering en masse, but pockets of resistence existed and it seemed like the troops at Kuwait International Airport did not receive the surrender order and therefore put up a stiff resistance; Side A casulaties 20,000 - 35,000 killed medain coded"
Battle of 73 Easting,Q1402530,0,1,1991-02-26,1991-02-27,Iraq,29°50′43″N 46°47′27″E,Coalition victory,United States; United Kingdom,Iraq,0,0,0,0,1,1,0,6,NA,NA,6,"Side B casualties 600-1,000 killed and wounded; described as the last great tank battle of the 20th century"
Battle of Al Busayyah,Q3636316,0,1,1991-02-26,1991-02-26,"Al Busayyah, Iraq","30°06'28""N 46°06'19""E",U.S. victory,United States,Iraq,0,0,0,0,0,1,0,0,NA,NA,0,Tank battle
Battle of Phase Line Bullet,Q3636571,0,1,1991-02-26,1991-02-26,Iraq,NA,Iraqi victory,United States,Iraq,0,0,0,0,0,1,0,2,NA,NA,2,tank battle
Battle of Medina Ridge,Q1634629,0,1,1991-02-27,1991-02-27,"Basra, Iraq",30°10′27″N 46°56′6″E,American victory,United States,Iraq,0,0,0,0,1,1,0,2,NA,NA,2,
Battle of Kuwait International Airport,Q19428991,0,1,1991-02-27,1991-02-27,Kuwait City Airport,29°14'15″N 47°58'26″E,American victory,United States,Iraq,0,0,0,0,1,1,1,19,NA,NA,19,"claims ""heavy casualties"" for side B; tank battle"
Battle of Norfolk,Q3636553,0,1,1991-02-27,1991-02-27,"Muthanna Province, Iraq",NA,Coalition victory,United States; United Kingdom,Iraq,0,0,0,0,0,1,0,36,NA,NA,21,has been recognized by some sources as the second largest tank battle in American history and the largest tank battle of the 1st Gulf War
Battle for Jalibah Airfield,Q4870165,0,1,1991-02-27,1991-02-27,Jalibah Southeast Air Base,"30°32'45.5""N 46°36'11.4""E",American victory,United States,Iraq,0,0,0,0,0,1,0,2,2000,NA,2,2 U.S. casualties were due to a friendly fire incident involving depleted uraniam rounds
Operation Provide Comfort,Q2281470,0,1,1991-03-01,1996-12-31,Northern Iraq,NA,Establishment of Kurdish de facto autonomus region in northern Iraq,United States; United Kingdom; Germany; France; Australia; Netherlands; Turkey; Italy; Spain,Iraq,0,1,0,1,1,1,1,31,90,NA,5,looks like US ground troops mostly provided humanitarian aid and security at Kurdish refugee camps; start date approximated to the first day of the month 
Battle of Rumaila,Q4872216,0,1,1991-03-02,1991-03-02,"Lake Hammar, Iraq",30.8562582°N 46.9184875°E,American victory,United States,Iraq,0,0,0,0,1,1,0,0,700,NA,0,destroyed a hospital bus full of medics and Iraqi soldiers that had already surrendered
Yugoslav Wars,Q242352,0,1,1991-03-13,2001-11-12,Slovenia; Croatia; Bosnia and Herzegovina; Serbia; Montenegro; Kosovo; Republic of Macedonia,NA,Breakup of Yugoslavia and the formation of independent successor states,Slovenia; Croatia; Croatian Republic of Herzeg-Bosnia; Republic of Bosnia and Herzegovina; Kosovo Liberation Army; Albania; NATO,SFR Yugoslavia; FR Yugoslavia; Republika Srpska; Republic of Serbian Krajina; Western Bosnia,0,0,1,1,0,0,0,NA,NA,NA,NA,SFR Yugoslavia and FR Yugoslavia only listed as belligerents on side B until 1992-04-27; casulaties given but could not differentiate
1991 Haitian coup d'état,Q4586873,0,1,1991-09-29,1991-09-29,Haiti; Port-au-Prince,18°32′N 72°20′W,Commander-in-Chief of the Haitian Army Raul Cédras ousted President Aristide; Superior Court justice Joseph Nérette installed as président provisoire; Jean-Jacques Honorat chosen as Prime Minister,United States; Haiti,Armed Forces of Haiti,0,0,0,0,0,1,0,NA,NA,NA,NA,21 casualties side not specified
Bosnian War,Q181533,0,1,1992-04-06,1995-12-14,Bosnia and Herzegovina,NA,"Military stalemate (Internal partition of Bosnia and Herzegovina according to the Dayton Accords; Over 101,000 dead, mainly Bosniaks; First genocide in Europe since World War II; Deployment of NATO-led forces to oversee the peace agreement; Establishment of the Office of the High Representative to oversee the civilian implementation of the peace agreement)",Bosnia and Herzegovina; Herzeg-Bosnia; Croatia; NATO (United States),Republika Srpska; Serbian Krajina; Yugoslavia; Western Bosnia; FR Yugoslavia,0,0,0,1,0,1,0,36521,21173,38246,NA,"Belligerents listed with different periods of involvement, October 1992-94 third side involved because Herseg-Bosnia and Croatia were against Bosnia and Herzegovina for a period but rejoined (before the U.S. got involved), NATO involved in bombing opperations 1994-95; Additional 5,100 killed whose ethnicity and status are unstated (and therefore not counted in the casualties; U.S. ground troops deployed as members of a NATO led Implemetation Force "
NATO intervention in Bosnia and Herzegovina,Q1091051,0,1,1992-07-16,2004-12-02,Bosnia and Herzegovina,NA,End of the Bosnian Wars,NATO (Netherlands; Norway; Denmark; Germany; Luxembourg; United States; Belgium; Spain; United Kingdom; Italy; Canada; Turkey; Portugal; France); UN Protection Force (France; United Kingdom; India; Sweden; Canada; Belgium); Western European Union; Russia,Republika Srpska; Republic of Serbian Krajina; Serbia and Montenegro,0,0,1,1,1,0,0,NA,NA,NA,NA,"Side A Western European Union involved 1993-1996, Russia involved 1995-1996; NATO used close air support, aerial bombing, UNPROFOR ground troops, and enforced a no-fly zone but it in unclear what the U.S. specifically did"
Operation Southern Watch,Q2026406,0,1,1992-08-27,2003-03-19,Iraq,NA,Inconclusive; Ended with Invasion of Iraq,United States; United Kingdom; France,Iraq,0,1,0,1,0,0,0,19,NA,175,19,"France only part of mission until 1998; location listed as Southern Iraq, below the 32nd and 33rd parallels "
Operation Deny Flight,Q567343,0,1,1993-04-12,1995-12-20,Bosnia and Herzegovina; Croatia,NA,Operation changes to Operation Deliberate Force,NATO; United Nations,Republika Srpska,0,0,0,1,1,0,0,9,NA,NA,1,
1993 cruise missile strikes on Iraq,Q5189962,0,1,1993-06-26,1993-06-26,Persian Gulf,NA,Intelligence headquarters in Baghdad destroyed,United States,Iraq,0,0,1,0,0,0,0,0,NA,9,0,side B casualties unknown
Operation Gothic Serpent,Q3428977,0,1,1993-08-22,1993-10-13,"Mogadishu, Somalia",NA,UNISOM II tactical victory; Somali National Alliance (SNA) stategic victory,United States; Malaysia; Pakistan; Italy; South Korea; ,SNA,0,0,0,0,1,1,1,45,750,NA,19,Side_B casualty count is mean of 500-1000 estimate
Battle of Mogadishu (1993),Q52226,0,1,1993-10-03,1993-10-04,"Mogadishu, Somalia",NA,Pyrrhic tactical US/UN victory; strategic SNA victory,"UNOSOM II; United States; Malaysia, Pakistan",Somali National Alliance,0,0,0,0,1,1,1,21,350,0,19,sideB median of 200-500
Banja Luka incident,Q1984410,0,1,1994-02-28,1994-02-28,"Banja Luka, Bosnia and Herzegovina",44°32′8.54″N 16°34′57.42″E,NATO victory,NATO (United States),Republic Srpska,0,1,0,0,0,0,0,0,3,NA,0,"Marked the first active combat, air-to-air or otherwise, in NATO history; Air-to-air missiles fired; NATO's planes were crossing over Croatian airspace to conduct CAS training near Sarjevo when they detected unidentified radar contacts in the No Fly Zone"
Iraqi Kurdish Civil War,Q1154912,0,1,1994-05-01,1997-11-24,Iraqi Kurdistan,NA,"Washington Agreement, ceasefire; creation of two Kurdish regional governments, one in Sulaymaniyah and one in Erbil (PKK moved to Qandil mountains from Bekaa Valley)",KDP; Iraq; Turkey; PDKI,PUK; PKK; KCP; Iraqi National Congress; Iran; SCIRI,0,0,1,0,0,1,0,NA,NA,NA,NA,"Start date listed as May 1994, first of the month coded; Military action occured within Operation Provide Comfort and Desert Strike; casualties: 5,000 killed; ""American airpower"" not specified beyond cruise missiles"
Operation Uphold Democracy,Q2026486,0,1,1994-09-19,1995-03-31,Haiti,NA,Decisive US victory,United States; Argentina; Poland,Haiti,0,0,0,0,0,1,1,1,301,NA,1,operation authorized by UNSC Resolution 940
Operation Vigilant Warrior,Q1838811,0,1,1994-10-08,1994-12-15,Iraq-Kuwait border,NA,U.S. military operation successful in keeping Iraq out of Kuwait,United States,Iraq,0,0,0,0,1,1,1,NA,NA,NA,NA,no info given about casualties
Implementation Force,Q313577,0,1,1995-01-01,1996-01-01,Bosnia and Herzegovina,NA,,United States; Belgium; Canada; Denmark; France; Germany; Italy; Luxembourg; Netherlands; Norway; Portugal; Spain; Turkey; United Kingdom; Australia; Austria; Bangladesh; Czech Republic; Egypt; Estonia; Finland; Hungary; Latvia; Lithuania; Malaysia; New Zealand; Pakistan; Poland; Romania; Slovakia; Sweden; Russia; Ukraine,Republika Srpska,0,0,0,0,0,1,0,NA,NA,NA,NA,"Dates listed as 1995-1996 first of January coded as date; 32 countries, type: command, part of NATO;  Article lists that this was a NATO-led multinational peace enforcement force in Bosnia and Herzegovina under a one-year mandate from 20 December 1995 to 20 December 1996"
1995 Pale air strikes,Q48799393,0,1,1995-05-25,1995-05-26,"Pale, Bosnia and Herzegovinia",NA,NA,NATO,Republika Srpska,0,0,0,1,0,0,0,NA,NA,NA,NA,
Operation Deliberate Force,Q160774,0,1,1995-08-30,1995-09-20,Bosnia and Herzegovina,NA,Strategic NATO victory; Bosnian Serbs return to negotiations,NATO; UNPROFOR,Republika Srpska ,0,0,0,1,0,0,0,0,26,27,0,
Operation Vigilant Sentinel,Q7097689,0,1,1995-12-01,1997-02-17,Persian Gulf,NA,Withdrawal of Iraqi forces from Kuwaiti border,United States; Kuwait,Iraq,0,0,0,0,1,1,0,0,0,0,0,
Cruise missile strikes on Iraq,Q1781133,0,1,1996-09-03,1996-09-03,Iraq,NA,United States victory; Targets damaged/destroyed,US-led coalition,Iraqi Republic,0,0,1,0,0,0,0,NA,NA,NA,NA,"The strikes were initally planned to be launched by different planes and TRAMS, but instead launched by U.S. Navy surface warships and U.S. airforce bombers, using cruise missiles"
Stabilisation Force in Bosnia and Herzegovina,Q313440,0,1,1996-12-20,2004-12-02,Bosnia and Herzegovina,NA,NA,Albania; Belgium; Bulgaria; Canada; Czech Republic; Denmark; Estonia; France; Germany; Greece; Hungary; Iceland; Italy; Latvia; Lithuania; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Spain; Slovakia; Slovenia; Turkey; United Kingdom; United States; Argentina; Australia; Austria; Egypt; Finland; Malaysia; Morocco; New Zealand; Republic of Ireland; Russia; Sweden; Ukraine,Republika Srpska,0,0,0,0,0,1,0,NA,NA,NA,NA,NATO-operated peacekeeping force in Bosnia and Herzegovina after the Bosnian war. Info on US contribution provided here https://www.govinfo.gov/content/pkg/GAOREPORTS-NSIAD-99-19/html/GAOREPORTS-NSIAD-99-19.htm
Operation Northern Watch,Q2026233,0,1,1997-01-01,1997-03-17,Northern Iraq,NA,Militarily inconclusive; Successful maintenance of an autonomous Kurdish region in northern Iraq; no-fly zones ended after 2003 invasion of Iraq,United States; United Kingdom; Turkey,Iraq,0,0,1,1,0,0,0,0,8,0,0,side_B casualty estimate includes mean of 5-10 estimate
Operation Infinite Reach,Q837887,0,1,1998-08-20,1998-08-20,"Khost, Afghanistan; Khartoum, Sudan",15°38′45″N 32°33′42″E,Strikes hit targets but failed objectives,United States; United Kingdom,al-Qaeda; Sudan; Harkat-ul-Mujahideen; Lashkar-e-Taiba,0,0,1,0,0,0,0,0,34,NA,0,
Bombing of Iraq,Q1327861,0,1,1998-12-16,1998-12-19,Iraq,NA,Coalition military success; Politically inconclusive (Much. of Iraqi military infastructure destroyed; Iraq bars weapon inspectors from returning; Iraq begins shooting at British and American planes in the Iraqi no-fly zones),United States; United Kingdom,Iraq; Belarus; Russia; Ukraine; Syria,0,0,1,1,0,1,0,0,821,NA,0,"Side B casualties 242-1,000 median coded"
Operation Desert Spring,Q7096978,0,0,1998-12-31,2003-03-18,Kuwait,NA,NA,United States,Iraq,0,0,0,0,1,1,0,NA,NA,NA,NA,mission objective was to provide control and force protection over Kuwait's military post-war between Iraq and Kuwait
United Nations Operation in Somalia II,Q1778229,0,1,1999-03-26,1995-03-28,Somalia,NA,NA,United Nations; Algeria; Australia; Austria; Bangladesh; Belgium; Botswana; Canada; Denmark; Egypt; Fiji; Finland; France; Germany; Greece; India; Indonesia; Ireland; Italy; Kuwait; Jordan; Malaysia; Morocco; Nepal; New Zealand; Nigeria; Norway; Pakistan; Philippines; Romania; Saudi Arabia; South Korea; Spain; Sweden; Switzerland; Tunisia; Turkey; UAE; United Kingdom; United States; Zimbabwe,United Somali Congress,0,0,0,0,1,1,1,64,1000,NA,22,
NATO bombing of Yugoslavia,Q155723,0,1,1999-03-24,1999-06-10,Federal Republic of Yugoslavia,NA,Kumanovo Agreement (Establishment of KFOR; Kumanova Treaty initiated; Withdrawal of Yugoslav forces from Kosovo; Deployment of KFOR; Establishment of UNMIK; Substantial damage to Yugoslav economy and infastructure; Return of Albanian refugees to Kosovo; Departure of many Serb and other non-Albanian citizens),NATO (Belgium; Canada; Denmark; France; Germany; Italy; Netherlands; Norway; Portugal; Spain; Turkey; United Kingdom; United States); Kosovo Liberation Army,Yugoslavia,0,0,1,1,1,1,0,2,916,NA,2,"Drone seem to be used only for surveillance and intelligence; air-to-air combat used by Yugoslavs to shoot down U.S. drones; U.S. casualties were due to a non-combat helicopter crash: Side B casualties 631-1,200 killed median coded; Varying estimates for civilian casualties, 489-528 killed (Human Rights Watch), 1,200-5,700 killed (Yugoslav estimate), 3 Chinese citizens killed in NATO's bombing of China's embassy in Belgrade"
NATO bombing of Novi Sad,Q4594928,0,0,1999-03-24,1999-06-09,Novi Sad,45°15′N 19°51′E,NA,NATO,Yugoslavia,0,0,0,1,0,0,0,0,NA,NA,0,
Battle of Košare,Q3303959,0,1,1999-04-09,1999-06-10,"Košare, Kosovo, FR Yugoslavia",42°27′0.22″N 20°12′12.64″E,"Kumanovo Agreement; Both KLA and FR Yugoslav sides claim victory (KLA claims: Yugoslav forces lost control of the border between FR Yugoslavia and Albania, KLA captured the Yugoslav border outpost in Košare; FR Yugoslav claims: KLA could not advance deep into Kosovo)",KLA; AFRK; Albania; NATO (United States),FR Yugoslavia,0,0,0,1,1,1,0,157,108,NA,NA,"82nd Airborne Division listed in strength, unclear if they were involved as ground troops beyond aerial engagement"
Grdelica train bombing,Q5598537,0,1,1999-04-12,1999-04-12,"Grdelica, Serbia",42.87697°N 22.085953°E,NA,United States,FR Yugoslavia,0,0,1,0,0,0,0,NA,NA,NA,NA,"Type: Missile attack; Target: Bridge; Executed by NATO; Casualties: 20 killed or missing according to HRW, 50 killed according to Tanjug, Other sources reported 55-60 killed; AGM-130 air-to-surface missile designed for strikes at long range against various targets; Released video confirmed NATO's version of events that the train was obscurred by dust and that the second missile was justified but controversy ensued when it was discovered that the video was sped up 4.7 times"
NATO bombing of Albanian refugees near Gjakova,Q499623,0,1,1999-04-14,1999-04-14,"Gjakova, Kosovo, FR Yugoslavia",42°23′N 20°26′E,NA,United States; NATO,FR Yugoslavia,0,0,0,1,0,0,0,NA,NA,73,NA,"Executed by NATO, target unkown, 73 killed; American F-16 accidentally bombed refugees on a twelve mile stretch of road between Gjakova and Deçan when he thought hw was firing on military trucks"
NATO bombing of the Radio Television of Serbia headquarters,Q4475947,0,1,1999-04-24,1999-04-24,Belgrade Federal Republic of Yugoslavia,44°48′41″N 20°28′12″E,NA,United States; NATO,FR Yugoslavia,0,0,0,1,0,0,0,NA,NA,16,NA,"Target: Radio Television of Serbia; Attack Type: Missile attack; Perpetrators: NATO (does not specifically state U.S. action); 16 killed, NATO justified the bombing saying it was necessary to disrupt and degrade the command, control and communications network of the Yugoslav Armed Forces and that the RTS headquarters was contributing to the propaganda war against the population of Kosovo (coded as civilians); General Manager of the RTS sentenced to 10 years in prison for failinf to evacuate "
Lužane bus bombing,Q6706905,0,1,1999-05-01,1999-05-01,"Lužane, Serbia",43°28′51″N 21°43′30″E,NA,United States; NATO,FR Yugoslavia,0,0,0,1,0,0,0,NA,NA,46,NA,"Target: Bridge; Attack Type: Missile Attack; Perpetrators: NATO; Deaths: 46; NATO missiles targeting a bridgee in Kosovo hit a bus; NATO missile, unclear if it was U.S. specifically"
United States bombing of the Chinese embassy in Belgrade,Q2418042,0,1,1999-05-07,1999-05-07,"Belgrade, Serbia, Yugoslavia",44.8250°N 20.4190°E,NA,United States,China,0,0,0,1,0,0,0,0,0,3,0,USA specified as perpetrator instead of a belligerent because the Chinese embassy was not the intended target
Koriša bombing,Q2813755,0,1,1999-05-14,1999-05-14,"Koriša, Yugoslavia",42.257603°N 20.798058°E,NA,United States; NATO,FR Yugoslavia,0,0,0,1,0,0,0,NA,NA,94,NA,Target: Unknown; Attack Type: Missile Attact; DEaths. 87-100 median coded; Perpetrators: NATO (no mention of specific U.S. action. - coded as aerial bombing); bombed Albanian refugees
Dubrava Prison bombings and executions,Q16836125,0,1,1999-05-19,1999-05-23,"Dubrava Prison, Istok, Kosovo",42°45′41″N 20°31′46″E,NA,United States; NATO,FR Yugoslavia,0,0,0,1,0,0,0,NA,NA,NA,NA,"Targeting Yugoslav and Serb forces nearby, NATO bombed the prison; Serbian security forces lined up the approximately 1,000 prisoners and fired on them with snipers, machine guns, and grenames, killing at least 70 people; Casualties: 19-23 (bombing) 79-82 (summary execution); unclear if the NATO bomber was American and therefore US military action"
Kurdistan Islamist Conflict,Q6445800,0,1,2001-09-01,2003-03-01,Iraqi Kurdistan,NA,"Kurdish victory, Islamist flee south and join the Iraqi insurgency",Patriotic Union of Kurdistan; Kurdistan Democratic Party; United States,Ansar al-Islam; Kurdistan Islamic Group; Kurdistan Islamic Movement; al-Qaeda,0,0,0,0,0,0,1,45,200,NA,NA,"Start and end date unknown, first of the month coded; Side B casualties: unknown, at least 45 killed and 93 wounded, 45 coded"
United States invasion of Afghanistan,Q19646470,0,1,2001-10-07,2001-12-17,Afghanistan,NA,United States/Northern Alliance victory,United States; United Kingdom; Canada; Australia; Northern Alliance,Taliban; Al-Qaeda; Islamic Movement of Uzbekistan; East Turkistan Islamic Party; Tanzeem-e-Nifaz-e-Shariat-e-Mohammadi,0,0,1,1,1,0,1,NA,NA,NA,NA,I think for the invasion specifically the US just used special forces? 
Bombing of Kandahar (2001),Q4871376,0,1,2001-10-07,2001-10-07,"Kandahar, Afghanistan",NA,"Successful American airstrikes in the city, Taliban strengthening position within city",United States; United Kingdom,Taliban; al-Qaeda,0,0,1,1,0,0,0,NA,NA,NA,NA,"Casualties unknown; food and supplies were dropped into the region by the U.S.; they also broadcasted a message to avoid backlash saying that the Taliban and its allies were the only targets of the attacks, not civilians"
Operation Crescent Wind,Q7096941,0,1,2001-10-07,2001-12-01,Afghanistan,NA,American/British victoy,United States; United Kingdom,Islamic Emirate of Afghanistan; Taliban,0,0,0,0,0,0,0,3,6000,3350,NA,sideA casualties were due to friendly fire; civilian casualty count is mean of 3100-3600 estimate 
Operation Rhino,Q3417667,0,1,2001-10-19,2001-10-20,"Kandahar, Afghanistan",NA,U.S. victory,United States,Islamic Emirate of Afghanistan; Taliban,0,0,0,1,1,1,0,2,65,NA,2,side_B casualty count includes mean of 30-100 estimate 
Fall of Mazar-i-Sharif,Q2889318,0,1,2001-11-09,2001-11-10,"Mazar-i-Sharif, Balkh Province, Afghanistan",NA,Northern Alliance and American victory,Northern Alliance; United States,Islamic Emirate of Afghanistan; Taliban; al-Qaeda; IMU; TNSM; ETIM; Foreign fighters,0,0,0,1,1,0,1,38,300,NA,NA,
