wikidata_name,wikidata_id,notes
Datta Khel airstrike,Q5227745,
Haska Meyna wedding party airstrike,Q5252012,
Dobley airstrike,Q5286642,
Deir ez-Zor Governorate clashes (April 2018),Q52941555,
Fall of Kabul,Q5432157,
2011 NATO attack in Pakistan,Q543279,
First and Second Battles of Kakarak,Q5454117,
Iraq War,Q545449,
foreign involvement in the Syrian civil war,Q5468411,
Operation Mountain Viper,Q5473413,
2008 Abu Kamal raid,Q553332,
American airstrikes in Somalia,Q55603824,
Gora Prai airstrike,Q5584353,
Grdelica train bombing,Q5598537,
Operation Deny Flight,Q567343,
Raid on Hazar Qadam,Q5687552,
Ethiopian–Somali conflict,Q5692053,
Helmand province campaign,Q5709231,
Timeline of the 2011–2012 Egyptian revolution,Q577539,
Iraqi insurgency (2017–present),Q57890365,
Hyderabad airstrike,Q5953962,
Iraq War in Anbar Province,Q6067801,
Iraq spring fighting of 2004,Q6067924,
Iraq spring fighting of 2008,Q6067932,
Iraqi–Kurdish conflict,Q6068230,
December 2017 Chad Basin clash,Q60754741,
November 2017 Somalia airstrike,Q60755056,
Ja'Din shootdown incident,Q60756557,
Eastern Syria insurgency,Q60761563,
December 2018 airstrikes in Gandarshe,Q60765736,
Mohmand Valley raid,Q60770016,
Operation Mountain Thrust,Q609978,
Battle of Baghuz Fawqani,Q61843818,
Insurgency in the Maghreb (2002–),Q632787,
Raid on Khataba,Q6400879,
Operation Steel Curtain,Q642100,
Korangal Valley campaign,Q6431406,
Raid on Kunar,Q6444187,
Kurdistan Islamist Conflict,Q6445800,
SY Quest incident,Q647100,
Laghman airstrikes,Q6472107,
Operation Observant Compass,Q65066391,
2003 Mosul raid,Q65074171,
Operation Mongoose (2003),Q65076683,
Liberation of Kuwait campaign,Q6541036,
2019–20 Persian Gulf crisis,Q65920364,
Lužane bus bombing,Q6706905,
History of Iraq (2003–11),Q6722016,
Mano Gai airstrike,Q6751071,
Night raid on Narang,Q6965344,
Nineveh campaign,Q7038210,
Operation Able Rising Force,Q7096724,
Operation Able Warrior,Q7096725,
Operation Airborne Dragon,Q7096734,
Operation Al Majid,Q7096735,
Operation Alljah,Q7096739,
Operation Arbead II,Q7096757,
Operation Ardennes,Q7096760,
Operation Asbury Park,Q7096764,
Operation Avalanche (Afghanistan),Q7096775,
Operation Badlands,Q7096780,
Operation Bayonet Lightning,Q7096794,
Operation Bulldog Bite,Q7096856,
Operation Bulldog Mammoth,Q7096859,
Operation Champion Sword,Q7096884,
Operation Commando Eagle,Q7096918,
Operation Crescent Wind,Q7096941,
Operation Dagger,Q7096953,
Operation Defeat Al Qaeda in the North,Q7096967,
Operation Desert Farewell,Q7096973,
Operation Desert Spring,Q7096978,
Operation Desert Thrust,Q7096979,
Operation Desert Scorpion (Iraq 2003),Q7096982,
Operation Dragon Fire East,Q7097002,
Operation Eagle Ares,Q7097017,
Operation Eagle Fury,Q7097022,
Operation Forsythe Park,Q7097057,
Operation Gaugamela,Q7097069,
Operation Guardian Tiger IV,Q7097106,
Operation Haven Denial,Q7097122,
Operation Instant Thunder,Q7097167,
Operation Iron Hammer (Iraq 2003),Q7097172,
Operation Iron Hammer (Iraq 2005),Q7097173,
Operation Iron Justice,Q7097175,
Operation Iron Triangle,Q7097176,
Operation Iron Saber,Q7097177,
Operation Ivy Blizzard,Q7097180,
Operation Leyte Gulf,Q7097226,
Operation Lion's Leap,Q7097238,
Operation Marlborough,Q7097269,
Operation Marne Avalanche,Q7097270,
Operation Mountain Resolve,Q7097302,
Operation Murfreesboro,Q7097303,
Operation New Market,Q7097325,
Operation Northern Delay,Q7097340,
Operation Panther Squeeze,Q7097371,
Operation Phantom Linebacker,Q7097388,
Operation Pickaxe-Handle,Q7097394,
Operation Planet X,Q7097399,
Operation Polar Tempest,Q7097403,
Operation Purple Haze,Q7097429,
Operation River Falcon,Q7097465,
Operation Saber Guardian,Q7097481,
Operation Sayeed,Q7097502,
Operation Scorpion,Q7097510,
Operation Secure Tomorrow,Q7097528,
Operation Shurta Nasir,Q7097544,
Operation Spear,Q7097569,
Operation Squeeze Play,Q7097575,
Operation Stampede 3,Q7097577,
Operation Tar Heels,Q7097613,
Operation Tiger Hammer,Q7097639,
Operation Together Forward,Q7097646,
Operation Valiant Guardian,Q7097682,
Operation Valiant Strike,Q7097684,
Operation Vigilant Sentinel,Q7097689,
Operation Warrior's Rage,Q7097703,
Operation Warrior Sweep,Q7097704,
Operation Whalers,Q7097713,
Oruzgan police station attack of January 2002,Q7105180,
Package Q Strike,Q7122885,
Pakistan–United States skirmishes,Q7125993,
Battle of Khafji,Q718770,
Battle of Nasiriyah,Q718851,
Barisha raid,Q72587856,
Rescue of Jessica Buchanan and Poul Hagen Thisted,Q7315022,
2010 Sangin airstrike,Q7418013,
Shrawangai Nazarkhel airstrike,Q7503440,
Siege of Musa Qala,Q7510253,
Sinai insurgency,Q7521684,
Arab–Iranian conflict,Q76327897,
terrorism in Egypt,Q7703930,
U.S. raid on the Iranian Liaison Office in Arbil,Q7863480,
Wech Baghtu wedding party airstrike,Q7979006,
2020 Baghdad International Airport airstrike,Q80754846,
2020 Baghdad International Airport airstrike,Q80754846,
2011 Libyan Civil War,Q81545,
Uruzgan helicopter attack,Q8207886,
Gulf War air campaign,Q8256467,
Operation Infinite Reach,Q837887,
cruise missile strikes on Afghanistan and Sudan,Q837887,
Operation Moshtarak,Q843588,
Insurgency in the North Caucasus,Q849563,
Operation Senior Surprise,Q85790978,
Operation Odyssey Dawn,Q878102,
Iraqi no-fly zones,Q899657,
Iraqi no-fly zones conflict,Q899657,
Operation Mountain Fury,Q909414,
Iraqi insurgency,Q926905,
Operation Maritime Guard,Q971510,
Battle of Tal Afar (2005),Q972831,
January 1993 airstrikes on Iraq,Q105773263,
Battle of Karbala,Q4871388,
2009 Makeen airstrike ,Q4614248,
Battle of Farah,Q54321840,
Ghazni offensive,Q56085424,
