Year,Intervention,Target,dataset,wikidata_id,wikidata_name,drop,notes
1993,3568,NA,mids,Q899657,Iraqi no-fly zones conflict,0,Having trouble finding a wikipedia page for this. It is a border dispute between Kuwait and Iraq in 1993. the Gulf War ends in 1991 but i'm not sure if there is a wikipedia page for the tensions that remained after the Gulf War.
1998,4137,NA,mids,Q190029,Kosovo War,0,
1999,4342,NA,mids,Q155723,NATO bombing of Yugoslavia,0,
2000,4186,NA,mids,Q155723,NATO bombing of Yugoslavia,0,
1994,4046,NA,mids,Q472398,Operation Sharp Guard,0,
1997,4216,NA,mids,Q2026406,Operation Southern Watch,0,The United States sent the aircraft carrier Nimitz to the Persian Gulf ahead of a scheduled deployment in order to dissuade Iranian air attacks on Iraq. No Wikipedia page found regarding this
1993,4016,NA,mids,Q2026486,Operation Uphold Democracy,0,
1994,4269,NA,mids,Q1838811,Operation Vigilant Warrior,0,
2010,4483,NA,mids,Q243987,Shelling of Yeonpyeong,1,
1995,4064,NA,mids,Q705373,Third Taiwan Strait Crisis,1,
2003,4455,NA,mids,Q186444,Treaty on the Non-Proliferation of Nuclear Weapons,1,"The United States sent additional warships to the waters around the Korean peninsula, and North Korea shadowed ships with its own naval forces."
2007,4535,NA,mids,Q7863480,U.S. raid on the Iranian Liaison Office in Arbil,0,
1992,3551,NA,mids,Q2050489,United Nations Security Council Resolution 816,1,
1989,3901,NA,mids,Q459282,United States invasion of Panama,0,
2001,4283,NA,mids,Q182865,War in Afghanistan,0,
2004,4524,NA,mids,Q185729,War on Terror,0,
2005,4527,NA,mids,Q185729,War on Terror,0,
2005,4568,NA,mids,Q185729,War on Terror,0,
2005,4571,NA,mids,Q185729,War on Terror,0,
2007,4577,NA,mids,Q185729,War on Terror,0,
2008,4397,NA,mids,Q185729,War on Terror,0,
2008,4540,NA,mids,Q185729,War on Terror,0,
2008,4581,NA,mids,Q185729,War on Terror,0,
2009,4543,NA,mids,Q185729,War on Terror,0,
2010,4598,NA,mids,Q185729,War on Terror,0,
1989,3900,NA,mids,,,1,Seems to be an incident of an American fishing boat and a Canadian frigate colliding in contested waters. Cannot find a Wikipedia page on this
1990,3950,NA,mids,,,1,Cannot seem to find this dispute number in MID
1991,3972,NA,mids,,,1,"The US Coast Guard seized one Canadian fishing vessel and boarded
another."
1993,4021,NA,mids,,,1,United States and South Korean performing military exercises in response to North Korea threatening withdrawl from the nuclear nonproliferation treat.
1993,4022,NA,mids,,,1,"Another military demonstration done on the DMZ between North and South Korea. could be a part of Foal Eagle, Q5463796 "
1994,4065,NA,mids,,,1,China doing military exercises to counter the American and Korean military exercises on the Korean peninsula. China warned the United States and S. Korea not to invade the north.
1996,4190,NA,mids,,,1,United States issued a warning to Syra that U.S would join Turkey in any conflict. 
1997,4174,NA,mids,,,1,Fishing dispute between US and Russia in the Bering Sea
1997,4183,NA,mids,,,1,Fishing dispute between the US and Canada
1999,4088,NA,mids,,,1,China was holding naval exercises in the Taiwan straight and threatened the US with long range balistic missiles if the US intervened. the US had no other involvment in this case.
2000,4197,NA,mids,,,1,Russia flying an aircraft close to the Bering straight resulted in the United States and Canada moving aircraft close to Alaska in case of Russian air attack
2000,4213,NA,mids,,,1,The US Navy stopped and detained a Russian Volgoneft tanker bound for the United Arab Emirates that was suspected of carrying sanctioned Iraq oil in the Gulf of Oman
2000,4218,NA,mids,,,1,North Korea threatened any boats from the US or South Korea that trespassed into North Korea's claimed waters.
2000,4220,NA,mids,,,1,A Russian reconnaissance plane and an interceptor fighter were reported to have entered unnoticed into the American groupings radar zone.
2000,4261,NA,mids,,,1," On October 12, 2000, Venezuela accused the American vessel the Gentian
with violating its waters near the mouth of the Orinoco River. On October 21, the US
Coast Guard medium patrol boat Reliance was intercepted by a Venezuelan patrol
boat in the Gulf of Venezuela"
2000,4298,NA,mids,,,1,Military exercises by the United States and Croatia following the seizure of a Montenegrin vessel by Yugoslav forces
2000,4343,NA,mids,,,1,"In November 2000, Serbia sent tanks to its border a day before its deadline that demanded NATO forces clamp down on lawlessness and rebels on its border with NATO-protected Kosovo."
2001,4280,NA,mids,,,1,https://www.nytimes.com/2001/04/02/world/us-plane-in-china-after-it-collides-with-chinese-jet.html
2001,4281,NA,mids,,,1,China threatened war on Taiwan in 2001. military exercises were done by not only Taiwan and China but by the United States as well. (couldn't find wiki on this event)
2002,4450,NA,mids,,,1,"Chinese patrols buzzed an American oceanographic ship within Chinese
exclusive economic zone"
2002,4451,NA,mids,,,1,Two Spanish warships seized a North Korean ship suspected of carrying Scud missiles to Yemen. US navy forces inspected the cargo at port and released the ship.
2002,4552,NA,mids,,,1,Indonesian troops attacked a village in Papua New Guinea while searching for rebels.
2003,4460,NA,mids,,,1, American warships and aircraft violated Indonesian waters
2004,4371,NA,mids,,,1,Does not involve the US
2004,4465,NA,mids,,,1,The United States added air defenses to South Korea’s border in the demilitarized zone and sent fighter jets for training.
2008,4541,NA,mids,,,1,Iran issues warning to United States to stay out of their airspace
2009,4486,NA,mids,,,1,Naval conflict in the South China Sea
2010,4506,NA,mids,,,1,United States violated Venezuelan airspace
1989,Philippines Coup Attempt,PHI,mip,Q4585384,1989 Philippine coup attempt,0,
1993,NPT Threats,PRK,mip,Q3058660,1993 North Korean missile test,1,
1993,PRK Tension,PRK,mip,Q3058660,1993 North Korean missile test,1,
1998,Operation Resolute Response,"KEN, TAZ",mip,Q876206,1998 United States embassy bombings,1,
1999,East Timorese Crisis,ETM,mip,Q152848,1999 East Timorese crisis,0,
2006,Israel-Hezbollah War/July War,LEB,mip,Q49104,2006 Lebanon War,1,
2008,Abu Kamal Raid,SYR,mip,Q553332,2008 Abu Kamal raid,0,
2017,Peru Flooding Relief,PER,mip,Q28949969,2017 Peru floods,1,
2017,Sri Lanka Humanitarian Assistance,LKA,mip,Q30226331,2017 Sri Lanka floods,1,
2006,Support of AMISOM,SOM,mip,Q1641888,African Union Mission to Somalia,0,
2009,Al-Majalah Cruise Missile Strikes,YEM,mip,Q4702750,Al-Maajala camp attack,0,
2005,Counterterrorism mission/drones,YEM,mip,Q286436,Al-Qaeda insurgency in Yemen,0,
2013,Syrian Civil War/Counter IS,JOR,mip,Q18121212,American-led intervention in Syria,0,
2014,U.S. involvement in Syrian Civil War,SYR,mip,Q18121212,American-led intervention in Syria,0,
2015,Boko Haram,CAO,mip,Q1569328,Boko Haram insurgency,0,
2000,IMATT,SIE,mip,Q4971401,British military intervention in the Sierra Leone Civil War,1,
1998,Operation Infinite Reach,AFG,mip,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
1998,Operation Infinite Reach,SUD,mip,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
2019,Baghdad Embassy Protection,IRQ,mip,Q26847124,December 2019 United States airstrikes in Iraq and Syria,0,
2005,Drone Strikes in Waziristan,PAK,mip,Q1260080,drone strikes in Pakistan,0,
2005,Pakistan drone strikes,PAK,mip,Q1260080,drone strikes in Pakistan,0,
2006,Drone strikes,PAK,mip,Q1260080,drone strikes in Pakistan,0,
2008,Waziristan Drone Strikes,PAK,mip,Q1260080,drone strikes in Pakistan,0,
2010,Border clash,PAK,mip,Q1260080,drone strikes in Pakistan,0,
2016,Hurricane Matthew Relief,HAI,mip,Q27630114,Effects of Hurricane Matthew in Haiti,1,
1990,Operation Desert Shield,SAU,mip,Q37643,Gulf War,0,
1991,Operation Desert Storm,IRQ,mip,Q8256467,Gulf War air campaign,0,
2001,Hainan Island Incident,CHN,mip,Q1137047,Hainan Island incident,1,
2003,Hood Event,TUR,mip,Q474833,Hood event,1,
2017,Hurricane Maria Relief,DMA,mip,Q40178187,Hurricane Maria,1,
2017,Joint Task Force Hurricane Relief,"Dominica,  St. Martin,",mip,Q40178187,Hurricane Maria,1,
2005,Pakistan Earthquake Response,PAK,mip,Q6055243,International response to the 2005 Kashmir earthquake,1,
2003,Operation Iraqi Freedom,IRQ,mip,Q545449,Iraq War,0,
1991,"Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch",IRQ,mip,Q899657,Iraqi no-fly zones conflict,0,
2003,Joint Task Force Liberia,LBR,mip,Q6269447,Joint Task Force Liberia,1,
2000,Kosovo Border,YUG,mip,Q159470,Kosovo Force,0,
1999,Kosovo Intervention,YUG,mip,Q190029,Kosovo War,0,
1989,Andean Initiative War on Drugs,"COL, BOL, PER",mip,NA,NA,0,
2002,Colombia Special Forces Deployment,COL,mip,NA,NA,0,
2016,Cruise Missile Strikes,YEM,mip,NA,NA,0,
1992,NATO Intervention in Yugoslavia,YUG,mip,Q155723,NATO bombing of Yugoslavia,0,
1993,NATO Intervention in Bosnia,BOS,mip,Q1091051,NATO intervention in Bosnia and Herzegovina,0,
1996,Operation Assured Response NEO,LBR,mip,Q11993901,Operation Assured Response,1,
2017,Operation Continuing Promise,"GUA, HON, COL",mip,Q7096922,Operation Continuing Promise,1,
1991,Operation Eastern Exit,SOM,mip,Q7097024,Operation Eastern Exit,1,
2002,Operation Enduring Freedom - Horn of Africa,DJI,mip,Q1195810,Operation Enduring Freedom – Horn of Africa,0,
2003,Operation Enduring Freedom - Horn of Africa (OEF-HOA),ETH,mip,Q1195810,Operation Enduring Freedom – Horn of Africa,0,
2004,Operation Enduring Freedom - Horn of Africa,KEN,mip,Q1195810,Operation Enduring Freedom – Horn of Africa,0,
2002,Operation Freedom Eagle; Operation Enduring Freedom - Philippines,PHI,mip,Q2631285,Operation Enduring Freedom – Philippines,0,
2013,Operation Juniper Shield,NIR,mip,Q2602154,Operation Enduring Freedom – Trans Sahara,1,
2015,Operation Freedom Sentinel,AFG,mip,Q21296923,Operation Freedom's Sentinel,0,
2014,Operation Inherent Resolve,"IRQ, SYR",mip,Q18357664,Operation Inherent Resolve,0,
1997,Operation Nobel Obelisk NEO,SIE,mip,Q16733992,Operation Noble Obelisk,1,
2011,Operation Observant Compass,UGA,mip,Q39207593,Operation Observant Compass,0,
2011,Operation Odyssey Dawn,LIB,mip,Q878102,Operation Odyssey Dawn,0,
1992,Operation Provide Relief,SOM,mip,Q15062104,Operation Provide Relief,1,
2004,Operation Secure Tomorrow,HAI,mip,Q7097528,Operation Secure Tomorrow,0,
1990,Operation Sharp Edge,LBR,mip,Q2026361,Operation Sharp Edge,1,
1992,Embassy Evacuation,SIE,mip,Q7097551,Operation Silver Anvil,1,
1997,Operation Silver Wake NEO,ALB,mip,Q7097555,Operation Silver Wake,1,
1997,Operation Southern Watch,IRN,mip,Q2026406,Operation Southern Watch,0,
1994,Operation Support Hope,DRC,mip,Q7097602,Operation Support Hope,1,
1994,Operation Support Hope,RWA,mip,Q7097602,Operation Support Hope,1,
2014,Operation United Assistance,LBR,mip,Q18357729,Operation United Assistance,1,
1994,Operation Uphold Democracy,HAI,mip,Q2026486,Operation Uphold Democracy,0,
2012,Hostage Rescue Mission,SOM,mip,Q7315022,Rescue of Jessica Buchanan and Poul Hagen Thisted,0,
1998,Liberian Civil Wars,LBR,mip,Q1960733,Second Liberian Civil War,1,
2017,Stella Daisy Uruguay Search and Rescue Assistance,URU,mip,Q29076262,Stellar Daisy,1,
2014,Ukraine Military Assistance,UKR,mip,Q17023197,"Support for the Sovereignty, Integrity, Democracy, and Economic Stability of Ukraine Act of 2014",1,
2018,Thai Cave Rescue,THI,mip,Q55301634,Tham Luang cave rescue,1,
1995,Third Taiwan Strait Crisis,CHN,mip,Q705373,Third Taiwan Strait Crisis,1,
2012,Philippines Typhon Relief,PHI,mip,Q247885,Typhoon Bopha,1,
2007,Erbil Raid,IRN,mip,Q7863480,U.S. raid on the Iranian Liaison Office in Arbil,0,
1992,Operation Restore Hope,SOM,mip,Q460844,Unified Task Force,1,
2000,UN Mission in Ethiopia and Eritrea,ERI,mip,Q487381,United Nations Mission in Ethiopia and Eritrea,1,
1993,UNOSOM II,SOM,mip,Q1778229,United Nations Operation in Somalia II,0,
1993,UN Resolution 842,MAC,mip,Q4121872,United Nations Security Council Resolution 842,1,
1989,Operation Just Cause,PAN,mip,Q459282,United States invasion of Panama,0,
1999,Vargas Tragedy,VEN,mip,Q2506366,Vargas tragedy,1,
2001,War in Afghanistan,AFG,mip,Q182865,War in Afghanistan,0,
1991,Attack on USS La Salle,IRN,mip,,,1,
1991,DRC Troops Airlift,DRC,mip,,,1,
1991,Fishing Boats,CAN,mip,,,1,
1992,Air Skirmish,PER,mip,,,1,
1996,Embassy Evacuation NEO,CEN,mip,,,1,
1997,Citizen Protection Operation,CAM,mip,,,1,
1997,Evacuating U.S. citizens,DRC,mip,,,1,
1998,Evacuation (NEO),GNB,mip,,,1,
1999,Korean Peninsula Hostilities,PRK,mip,,,1,
1999,Taiwan Strait Skirmishes,CHN,mip,,,1,
2000,Bering Straight Probes,RUS,mip,,,1,
2000,Counterterrorism mission,YEM,mip,,,1,
2000,Phiblex 2000,YUG,mip,,,1,
2000,Russian ship carries illegal Iraqi oil,RUS,mip,,,1,
2001,China/Taiwan Dispute,CHN,mip,,,1,
2002,Evacuation Mission,CDI,mip,,,1,
2003,Indonesia Freedom of Navigation Operation,INS,mip,,,1,
2003,PRK withdraws from NPT,PRK,mip,,,1,
2004,Fortification of Kwangju,PRK,mip,,,1,
2004,Violations of Iranian Airspace,IRN,mip,,,1,
2007,Detaining Iranian Nationals,IRN,mip,,,1,
2009,Korean Sea Hostilities,PRK,mip,,,1,
2009,Naval Skirmish,CHN,mip,,,1,
2009,Trespassing Drone,IRN,mip,,,1,
2010,Venezuela Airspace Violation,VEN,mip,,,1,
2013,Burundi Airlift,CEN,mip,,,1,
2018,Operation Enduring Promise,ECU,mip,,,1,
2018,Venezuelan Refugees Humanitarian mission,HON,mip,,,1,
2019,Oil tanker attacks response,SAU,mip,,,1,
2002,U.S. Assistance to Pakistan,PAK,mip,,,1,
2003,Detention of U.S. Service members,IRN,mip,,,1,
2004,Iran Border Fortification,IRN,mip,,,1,
2004,Syria Border Clash,SYR,mip,,,1,
2005,Iraqi Border Clashes,SYR,mip,,,1,
2008,Airspace violation,PAK,mip,,,1,
1995,Operation Deliberate Force,Bosnia,mips,Q181533,Bosnian War,0,
1996,Desert Strike/ Kuwait deployment,Kuwait,mips,Q1781133,Cruise missile strikes on Iraq,0,
1990,Desert Shield,Saudi Arabia,mips,Q37643,Gulf War,0,
1991,Desert Storm,Kuwait,mips,Q37643,Gulf War,0,
1999,Operation Allied Force/ Noble Anvil,Yugoslavia,mips,Q190029,Kosovo War,0,
1998,Ops Desert Thunder/ Desert Fox,Iraq,mips,Q3354687,Operation Desert Thunder,0,
1991,Ops Provide Comfort/ Northern Watch,Iraq,mips,Q2281470,Operation Provide Comfort,0,
1992,Operation Southern Watch,Iraq,mips,Q2026406,Operation Southern Watch,0,
1994,Operation Uphold Democracy,Haiti,mips,Q2026486,Operation Uphold Democracy,0,
1994,Operation Vigilant Warrior,Kuwait,mips,Q1838811,Operation Vigilant Warrior,0,
1996,Taiwan Strait Crisis of 1995/1996,Taiwan,mips,Q705373,Third Taiwan Strait Crisis,1,
1992,Operation Restore Hope (UNITAF),Somalia,mips,Q460844,Unified Task Force,1,https://simple.wikipedia.org/wiki/Operation_Restore_Hope wikidata hyperlink on this page links to United Task Force wikidata page
1993,Operation Continue Hope (UNOSOM),Somalia,mips,Q460844,Unified Task Force,1,
1989,Operation Nimrod Dancer,Panama,mips,Q459282,United States invasion of Panama,0,
1989,Operation Just Cause,Panama,mips,Q459282,United States invasion of Panama,0,
2001,Operation Enduring Freedom-Afghanistan,Afghanistan,mips,Q182865,War in Afghanistan,0,
2001,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2002,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2003,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2004,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2005,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2006,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2007,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2008,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2009,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2010,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2011,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2012,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2013,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2014,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2015,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2016,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
2017,NA,Al-Qaeda,prio,Q185729,War on Terror,0,
1991,Operation Sea Angel,Bangladesh,rand,Q806498,1991 Bangladesh cyclone,1,
1991,Operation Safe Harbor,Cuba,rand,Q4586873,1991 Haitian coup d'état,0,
1999,Operation Avid Response,Turkey,rand,Q367449,1999 İzmit earthquake,1,
2000,Operation Atlas Response,Mozambique,rand,Q859770,2000 Mozambique flood,1,Humanitarian support effort
2010,Flood Relief in Pakistan,Pakistan,rand,Q333463,2010 Pakistan floods,1,
2011,Operation Odyssey Dawn,NA,rand,Q81545,2011 Libyan Civil War,0,
2014,Operation Inherent Resolve,NA,rand,Q18121212,American-led intervention in Syria,0,
1992,Operation Desert Fox,NA,rand,Q1327861,Bombing of Iraq,0,
2002,Joint Task Force Horn of Africa,NA,rand,Q3684016,Combined Joint Task Force – Horn of Africa,0,
1998,Operation Infinite Reach,NA,rand,Q837887,cruise missile strikes on Afghanistan and Sudan,0,
1992,Operation Desert Strike,NA,rand,Q1781133,Cruise missile strikes on Iraq,0,
2004,EUFOR,Bosnia and Herzegovina,rand,Q691042,EUFOR Althea,1,
1996,Operation Assured Response,Liberia,rand,Q1477500,First Liberian Civil War,0,
1991,Operation Desert Storm,Iraq,rand,Q37643,Gulf War,0,
1991,Task Force Freedom,Kuwait,rand,Q37643,Gulf War,0,
1998,Operation Strong Support/Fuerte Apoyo,NA,rand,Q390115,Hurricane Mitch,1,Couldn't find wikidata entries for the exact operations but according to outside sources it seems to be hurrican relief efforts.
1995,IFOR,Bosnia,rand,Q313577,Implementation Force,0,
2001,International Security Assistance Force,Afghanistan,rand,Q155654,International Security Assistance Force,0,
1992,Exercise Iris Gold,NA,rand,Q1433190,Iraq disarmament crisis,0,
2003,Operation Iraqi Freedom,Iraq,rand,Q545449,Iraq War,0,
2003,Operation New Dawn,Iraq,rand,Q545449,Iraq War,0,
2014,U.S. Military Support to African-Led Counter–Boko Haram Operations,NA,rand,Q1569328,Boko Haram insurgency,0,United States offered military training and expertise to the African nations that declared war on Boko Haram.
2003,Joint Task Force Liberia,Liberia,rand,Q6269447,Joint Task Force Liberia,1,
1999,Multinational Peacekeeping Force in Kosovo,Kosovo,rand,Q159470,Kosovo Force,0,
1999,Operation Allied Force,Kosovo,rand,Q190029,Kosovo War,0,
2016,Anti-ISIL Air Strikes in Libya,Libya,rand,Q17507684,military intervention against ISIL,0,
1999,Operation Noble Anvil,Kosovo,rand,Q155723,NATO bombing of Yugoslavia,0,
2014,Operation Atlantic Resolve,NA,rand,Q19698338,Operation Atlantic Resolve,1,
1992,Exercise Intrinsic Action/Desert Spring,NA,rand,Q7096978,Operation Desert Spring,0,
